t;iL;iG;iSd;slope
0;13;3;2;450
0;13;3;3;450
0;13;3;4;450
0;13;3;5;450
0;13;3;6;450
0;13;3;7;450
0;13;3;8;450
0;13;4;0;450
0;13;4;1;450
0;13;4;2;450
0;13;4;3;450
0;13;4;4;450
0;13;4;5;450
0;13;4;6;450
0;13;4;7;450
0;13;4;8;450
0;13;5;0;450
0;13;5;1;450
0;13;5;2;450
0;13;5;3;450
0;13;5;4;450
0;13;5;5;450
0;13;5;6;450
0;13;5;7;450
0;13;5;8;450
0;14;0;0;450
0;14;0;1;450
0;14;0;2;450
0;14;0;3;450
0;14;0;4;450
0;14;0;5;450
0;14;0;6;450
0;14;0;7;450
0;14;0;8;450
0;14;1;0;450
0;14;1;1;450
0;14;1;2;450
0;14;1;3;450
0;14;1;4;450
0;14;1;5;450
0;14;1;6;450
0;14;1;7;450
0;14;1;8;450
0;14;2;0;450
0;14;2;1;450
0;14;2;2;450
0;14;2;3;450
0;14;2;4;450
0;14;2;5;450
0;14;2;6;450
0;14;2;7;450
0;14;2;8;450
0;14;3;0;450
0;14;3;1;450
0;14;3;2;450
0;14;3;3;450
0;14;3;4;450
0;14;3;5;450
0;14;3;6;450
0;14;3;7;450
0;14;3;8;450
0;14;4;0;450
0;14;4;1;450
0;14;4;2;450
0;14;4;3;450
0;14;4;4;450
0;14;4;5;450
0;14;4;6;450
0;14;4;7;450
0;14;4;8;450
0;14;5;0;450
0;14;5;1;450
0;14;5;2;450
0;14;5;3;450
0;14;5;4;450
0;14;5;5;450
0;14;5;6;450
0;14;5;7;450
0;14;5;8;450
0;15;0;0;450
0;15;0;1;450
0;15;0;2;450
0;15;0;3;450
0;15;0;4;450
0;15;0;5;450
0;15;0;6;450
0;15;0;7;450
0;15;0;8;450
0;15;1;0;450
0;15;1;1;450
0;15;1;2;450
0;15;1;3;450
0;15;1;4;450
0;15;1;5;450
0;15;1;6;450
0;15;1;7;450
0;15;1;8;450
0;15;2;0;450
0;15;2;1;450
0;15;2;2;450
0;15;2;3;450
0;15;2;4;450
0;15;2;5;450
0;15;2;6;450
0;15;2;7;450
0;15;2;8;450
0;15;3;0;450
0;15;3;1;450
0;15;3;2;450
0;15;3;3;450
0;15;3;4;450
0;15;3;5;450
0;15;3;6;450
0;15;3;7;450
0;15;3;8;450
0;15;4;0;450
0;15;4;1;450
0;15;4;2;450
0;15;4;3;450
0;15;4;4;450
0;15;4;5;450
0;15;4;6;450
0;15;4;7;450
0;15;4;8;450
0;15;5;0;450
0;15;5;1;450
0;15;5;2;450
0;15;5;3;450
0;15;5;4;450
0;15;5;5;450
0;15;5;6;450
0;15;5;7;450
0;15;5;8;450
0;16;0;0;450
0;16;0;1;450
0;16;0;2;450
0;16;0;3;450
0;16;0;4;450
0;16;0;5;450
0;16;0;6;450
0;16;0;7;450
0;16;0;8;450
0;16;1;0;450
0;16;1;1;450
0;16;1;2;450
0;16;1;3;450
0;16;1;4;450
0;16;1;5;450
0;16;1;6;450
0;16;1;7;450
0;16;1;8;450
0;16;2;0;450
0;16;2;1;450
0;16;2;2;450
0;16;2;3;450
0;16;2;4;450
0;16;2;5;450
0;16;2;6;450
0;16;2;7;450
0;16;2;8;450
0;16;3;0;450
0;16;3;1;450
0;16;3;2;450
0;16;3;3;450
0;16;3;4;450
0;16;3;5;450
0;16;3;6;450
0;16;3;7;450
0;16;3;8;450
0;16;4;0;450
0;16;4;1;450
0;16;4;2;450
0;16;4;3;450
0;16;4;4;450
0;16;4;5;450
0;16;4;6;450
0;16;4;7;450
0;16;4;8;450
0;16;5;0;450
0;16;5;1;450
0;16;5;2;450
0;16;5;3;450
0;16;5;4;450
0;16;5;5;450
0;16;5;6;450
0;16;5;7;450
0;16;5;8;450
0;17;0;0;450
0;17;0;1;450
0;17;0;2;450
