"t";"iL";"iG";"iSd";"slope";"intercept"
9;13;0;4;745,233;-6287,74
9;13;1;4;744,628;-6260,921
9;13;2;4;743,868;-6228,271
9;13;3;4;743,418;-6203,652
9;13;4;4;743,178;-6189,014
9;13;5;4;742,662;-6174,876
9;13;0;5;744,429;-6346,743
9;13;1;5;743,622;-6315,524
9;13;2;5;742,733;-6278,585
9;13;3;5;741,92;-6245,42
9;13;4;5;741,117;-6218,478
9;13;5;5;740,451;-6197,192
9;13;0;6;737,185;-6363,823
9;13;1;6;736,313;-6331,48
9;13;2;6;734,959;-6286,937
9;13;3;6;733,62;-6243,1
9;13;4;6;732,766;-6206,854
9;13;5;6;732,651;-6182,104
9;13;0;7;734,935;-6381,534
9;13;1;7;733,818;-6345,418
9;13;2;7;732,477;-6301,056
9;13;3;7;731,324;-6261,383
9;13;4;7;730,373;-6228,338
9;13;5;7;729,865;-6201,85
9;13;0;8;739,899;-6392,281
9;13;1;8;738,949;-6358,743
9;13;2;8;737,725;-6316,389
9;13;3;8;736,814;-6281,328
9;13;4;8;735,984;-6253,232
9;13;5;8;735,259;-6229,458
9;14;0;0;766,628;-6055,927
9;14;1;0;766,582;-6048,021
9;14;2;0;766,741;-6047,275
9;14;3;0;766,975;-6051,767
9;14;4;0;767,128;-6057,796
9;14;5;0;767,177;-6062,357
9;14;0;1;764,143;-6100,179
9;14;1;1;764,048;-6089,895
9;14;2;1;764,134;-6084,26
9;14;3;1;764,357;-6086,528
9;14;4;1;764,554;-6092,296
9;14;5;1;764,487;-6094,173
9;14;0;2;761,162;-6134,436
9;14;1;2;760,964;-6120,572
9;14;2;2;760,951;-6111,923
